Word/Sentence,Valence,Arousal
apron,0.6,0.2375
apt,0.58,0.38125
aptitude,0.61875,0.44375
aqua,0.6875,0.325
aquamarine,0.675,0.3625
aquarium,0.67875,0.4125
aquatic,0.725,0.3225
arbitrary,0.39375000000000004,0.44375
arbitration,0.38625,0.42625
arcade,0.68125,0.6375
arcane,0.53125,0.32625
arch,0.6,0.26875
archaeological,0.63125,0.43999999999999995
archaeologist,0.5525,0.39249999999999996
archaeology,0.6375,0.3575
archaic,0.4375,0.4225
archangel,0.78375,0.39875000000000005
archbishop,0.46375,0.3475
archdiocese,0.36875,0.30125
archduke,0.39375000000000004,0.32
archery,0.53125,0.42374999999999996
architect,0.65125,0.28125
architectural,0.665,0.38125
architecture,0.63125,0.42374999999999996
archive,0.47624999999999995,0.39749999999999996
arctic,0.43125,0.36
ardent,0.49375,0.4525
area,0.57,0.14875
arena,0.59375,0.40375000000000005
argue,0.26875,0.70875
argument,0.2025,0.5275
argumentative,0.275,0.57625
arise,0.64625,0.47
aristocracy,0.52625,0.39375000000000004
aristocrat,0.41000000000000003,0.325
aristocratic,0.59875,0.2725
arithmetic,0.49375,0.375
ark,0.64375,0.315
arm,0.555,0.305
armada,0.44999999999999996,0.28625
armament,0.50625,0.45625000000000004
armchair,0.58375,0.21875
armed,0.38875000000000004,0.6625
armor,0.6375,0.28625
armored,0.58375,0.315
armory,0.53125,0.43500000000000005
armpit,0.38749999999999996,0.32125
army,0.45625000000000004,0.43625
aroma,0.83125,0.41874999999999996
arouse,0.70875,0.65125
aroused,0.61875,0.7875
arraignment,0.36375,0.44999999999999996
arrange,0.51875,0.32125
arrangement,0.58875,0.25
array,0.6125,0.33875
arrest,0.16625,0.7325
arrhythmia,0.3575,0.49375
arrival,0.70875,0.325
arrive,0.67625,0.5
arrogance,0.19374999999999998,0.45625000000000004
arrogant,0.19,0.51875
arrow,0.53,0.36375
arsenal,0.43125,0.56
arsenic,0.25,0.4625
arson,0.15749999999999997,0.55125
arsonist,0.1875,0.74375
art,0.73125,0.43500000000000005
arterial,0.36875,0.29875
artery,0.41125,0.38625
arthritis,0.16499999999999998,0.40874999999999995
artichoke,0.5375,0.3125
article,0.585,0.3125
articulate,0.69375,0.40874999999999995
artifact,0.65,0.49375
artificial,0.3575,0.39625
artillery,0.38749999999999996,0.44499999999999995
artist,0.72,0.38749999999999996
artiste,0.66625,0.25
artistic,0.75,0.5
artistry,0.73875,0.46375
artwork,0.72,0.39749999999999996
arty,0.69375,0.56625
asbestos,0.15500000000000003,0.4225
ascend,0.64875,0.39125
ascendant,0.53625,0.27875
ascending,0.5175,0.34125
ascension,0.59625,0.545
ascertain,0.5375,0.27125
ashamed,0.19,0.58125
ashtray,0.315,0.31
asinine,0.50625,0.45375
ask,0.61875,0.31
asleep,0.6875,0.125
asparagus,0.55375,0.21625
aspect,0.48624999999999996,0.29875
aspen,0.69625,0.38875000000000004
asphalt,0.4325,0.275
asphyxia,0.14875,0.6425
asphyxiation,0.06625,0.73875
aspiration,0.6575,0.5
aspire,0.67875,0.335
aspirin,0.5375,0.29375
aspiring,0.73625,0.42625
ass,0.55625,0.55375
assailant,0.28,0.5875
assassin,0.13874999999999998,0.6025
assassinate,0.28375,0.6725
assassination,0.10375000000000001,0.65
assault,0.13124999999999998,0.725
assemble,0.5175,0.315
assembly,0.55875,0.36875
assemblyman,0.5,0.265
assert,0.585,0.45499999999999996
assertive,0.54625,0.56875
assess,0.605,0.30625
assessment,0.5275,0.21875
asset,0.78125,0.42874999999999996
asshole,0.13874999999999998,0.6725
assign,0.46875,0.33875
assignment,0.54875,0.43125
assimilate,0.45375,0.39375000000000004
assist,0.61875,0.345
assistance,0.6025,0.3525
assistant,0.61375,0.475
associate,0.525,0.26375
association,0.5625,0.33375
assorted,0.6025,0.315
assortment,0.58,0.36
assume,0.42625,0.4
assumption,0.4125,0.39249999999999996
assurance,0.61875,0.22625
assure,0.66625,0.2625
asterisk,0.5475,0.22249999999999998
asteroid,0.49375,0.575
asthma,0.18125000000000002,0.4375
asthmatic,0.29125,0.2975
astonish,0.56875,0.5475
astonished,0.6775,0.59125
astonishing,0.69125,0.59625
astound,0.6625,0.50625
astral,0.54,0.51625
astrology,0.47375,0.39749999999999996
astronaut,0.71625,0.42500000000000004
astronomer,0.57375,0.5525
astronomical,0.67125,0.5
astronomy,0.625,0.41625
astute,0.6525,0.27
asylum,0.28,0.56875
atheist,0.45499999999999996,0.47
athlete,0.65125,0.46875
athletic,0.72,0.5
athletics,0.6425,0.49124999999999996
atlas,0.61875,0.1875
atmosphere,0.63125,0.375
atmospheric,0.59,0.38625
atoll,0.5175,0.31875
atom,0.5925,0.41125
atomic,0.4075,0.60625
atone,0.575,0.375
atrium,0.61875,0.32125
atrocious,0.2675,0.39
atrocity,0.24375000000000002,0.5
atrophy,0.27,0.3575
attach,0.5325,0.35125
attachment,0.625,0.245
attack,0.125,0.75625
attacker,0.15375,0.78375
attain,0.60625,0.26375
attempt,0.625,0.49250000000000005
attempted,0.54375,0.33
attend,0.55,0.3125
attendance,0.61875,0.405
attendant,0.57875,0.2675
attention,0.71,0.38125
attentive,0.67875,0.42125
attest,0.5125,0.335
attic,0.49375,0.30625
attire,0.645,0.36875
attitude,0.46499999999999997,0.47
attorney,0.33375,0.475
attract,0.6725,0.54375
attraction,0.75,0.55
attractive,0.77375,0.48875
attribute,0.58375,0.39
auburn,0.61125,0.3275
auction,0.55375,0.4375
auctioneer,0.51125,0.375
audacious,0.51375,0.41000000000000003
audacity,0.525,0.38749999999999996
audible,0.63125,0.43125
audience,0.61125,0.48875
audio,0.695,0.41125
audit,0.22749999999999998,0.5975
audition,0.525,0.405
auditor,0.2825,0.3375
auditorium,0.63125,0.43125
auditory,0.50625,0.4375
aunt,0.695,0.21375
auntie,0.655,0.3225
aura,0.68125,0.4625
auspicious,0.47,0.29875
authentic,0.73875,0.44375
authenticate,0.5125,0.42000000000000004
authenticity,0.72625,0.4275
author,0.66625,0.21625
authority,0.47,0.54375
authorization,0.6075,0.41500000000000004
authorize,0.54625,0.45875
autism,0.275,0.38749999999999996
autistic,0.3275,0.405
auto,0.5,0.49375
autobiographical,0.47750000000000004,0.3425
autobiography,0.59875,0.23125
autograph,0.65125,0.31875
autographed,0.6425,0.45625000000000004
automated,0.4675,0.38125
automatic,0.63125,0.3375
automobile,0.55625,0.36375
automotive,0.54625,0.4375
autonomy,0.50625,0.38625
autopilot,0.58125,0.38875000000000004
autopsy,0.2025,0.42000000000000004
autumn,0.765,0.27625
auxiliary,0.5325,0.32625
avail,0.5525,0.34625
availability,0.585,0.4225
available,0.7325,0.38
avalanche,0.375,0.69375
avenge,0.38125,0.66875
avenging,0.48624999999999996,0.6375
avenue,0.5925,0.2875
average,0.48624999999999996,0.28625
aversion,0.375,0.5175
avert,0.52,0.3275
aviation,0.6125,0.38125
aviator,0.67375,0.45875
avid,0.5925,0.41500000000000004
avocado,0.665,0.38125
avoid,0.38749999999999996,0.365
avoidance,0.29375,0.49375
await,0.54125,0.23875000000000002
awake,0.72,0.5625
awaken,0.63125,0.41125
awakening,0.67625,0.45875
award,0.8575,0.60625
aware,0.7325,0.4625
awareness,0.68125,0.34125
awe,0.73125,0.35375
awed,0.63125,0.40125
awesome,0.8575,0.63125
awful,0.15999999999999998,0.48250000000000004
awkward,0.24375000000000002,0.44375
awkwardness,0.3575,0.45625000000000004
awning,0.59875,0.2375
axe,0.31,0.58
axis,0.39875000000000005,0.365
axle,0.45875,0.18125000000000002
babble,0.44375,0.375
babe,0.7325,0.40625
baboon,0.56875,0.51375
baby,0.70875,0.49624999999999997
babysit,0.4675,0.33375
babysitter,0.69375,0.31
Bacardi,0.585,0.42000000000000004
bachelor,0.5725,0.39249999999999996
bachelorette,0.565,0.38625
back,0.47,0.19874999999999998
backboard,0.4625,0.30125
backbone,0.52,0.38125
backdoor,0.48250000000000004,0.35625
backdrop,0.55625,0.21250000000000002
backer,0.46625000000000005,0.31625
backfire,0.25,0.47375
backgammon,0.575,0.1325
background,0.50625,0.33375
backhand,0.3125,0.45125000000000004
backpack,0.63125,0.335
backroom,0.44999999999999996,0.3125
backseat,0.48,0.29
backside,0.4475,0.335
backtrack,0.4075,0.26875
backup,0.60625,0.30625
backwater,0.41625,0.355
backwoods,0.5,0.19624999999999998
backyard,0.6375,0.36
bacon,0.815,0.395
bacteria,0.2875,0.405
bacterial,0.335,0.5
bad,0.28,0.48250000000000004
badass,0.6425,0.71
badge,0.53,0.42500000000000004
badger,0.45375,0.41874999999999996
badness,0.31875,0.4225
bag,0.50625,0.30375
bagel,0.665,0.325
baggage,0.4375,0.375
baggie,0.55375,0.31875
baggy,0.43125,0.38125
bagman,0.4625,0.21250000000000002
bail,0.34875,0.36375
bailiff,0.36875,0.41625
bait,0.375,0.3125
bake,0.775,0.5
bakery,0.72375,0.3575
balance,0.73,0.39125
balcony,0.63875,0.375
bald,0.23125,0.33875
balding,0.25625,0.2975
baldy,0.36875,0.21250000000000002
bale,0.48750000000000004,0.22249999999999998
ball,0.6425,0.31
ballad,0.66625,0.325
ballast,0.45875,0.38249999999999995
ballerina,0.72375,0.34125
ballet,0.7325,0.34
ballgame,0.75,0.45625000000000004
ballistic,0.5,0.38625
ballistics,0.38125,0.5725
balloon,0.73,0.3625
ballot,0.53625,0.39375000000000004
ballpark,0.555,0.35625
ballplayer,0.5325,0.38625
ballpoint,0.5125,0.1825
ballroom,0.59375,0.40874999999999995
ballsy,0.48750000000000004,0.53625
balm,0.655,0.295
balmy,0.52875,0.40375000000000005
bam,0.50625,0.37
bamboo,0.66625,0.275
ban,0.2975,0.525
banana,0.71375,0.27625
band,0.68,0.43999999999999995
bandage,0.32875,0.33
bandanna,0.5325,0.26875
bandit,0.36,0.5225
bandstand,0.60125,0.3175
bandwagon,0.36875,0.36875
bandwidth,0.54,0.30375
bane,0.3625,0.36875
bang,0.5125,0.63625
banger,0.38125,0.29125
banish,0.35625,0.46375
banister,0.5525,0.19374999999999998
banjo,0.66875,0.31625
bank,0.625,0.39875000000000005
banker,0.48624999999999996,0.2975
banking,0.55875,0.405
bankroll,0.63125,0.49375
bankrupt,0.15125,0.56125
bankruptcy,0.19,0.54875
banner,0.52125,0.31875
banquet,0.63875,0.44625000000000004
banshee,0.3225,0.51125
banter,0.56,0.3125
banzai,0.58125,0.46625000000000005
baptism,0.7025,0.37
baptize,0.57375,0.29
bar,0.5,0.44125000000000003
barbarian,0.2675,0.6575
barbaric,0.30375,0.575
barbecue,0.7625,0.56875
barbed,0.34375,0.5125
barber,0.48624999999999996,0.2725
barbershop,0.54625,0.2725
barbie doll,0.52875,0.37
bard,0.43125,0.2425
bare,0.5625,0.45625000000000004
barefoot,0.73875,0.41625
barf,0.16499999999999998,0.5
bargain,0.82875,0.56
bargaining,0.54625,0.39249999999999996
barge,0.555,0.26875
baritone,0.63125,0.375
barium,0.48750000000000004,0.23875000000000002
bark,0.48250000000000004,0.3
barkeep,0.5875,0.33875
barley,0.49375,0.3275
barmaid,0.48124999999999996,0.44999999999999996
barman,0.535,0.49375
barn,0.645,0.32125
barnacle,0.53375,0.315
barnyard,0.58125,0.19374999999999998
barometer,0.5,0.235
baron,0.3625,0.36
baroness,0.46875,0.42000000000000004
barracuda,0.48124999999999996,0.52
barrage,0.405,0.37
barrel,0.49,0.30375
barren,0.34875,0.32375
barricade,0.41500000000000004,0.40375000000000005
barrier,0.43374999999999997,0.4625
barrister,0.49375,0.2725
barroom,0.48750000000000004,0.45625000000000004
bartender,0.57875,0.49375
barter,0.58,0.4675
base,0.585,0.2625
baseball,0.59875,0.26875
