Number,English sentence,Polish sentence,Number of words,Number of letters,Valence all,Arousal all,Dominance all,Origin all,Significance all,Source all,Valence Main Sample,Valence Main Sample,Valence Main Sample,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Male,Valence Main Sample Male,Valence Main Sample Male,Valence psych,Valence psych,Valence psych,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal psych,Arousal psych,Arousal psych,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Male,Dominance Main Sample Male,Dominance Main Sample Male,Dominance psych,Dominance psych,Dominance psych,Origin Main Sample,Origin Main Sample,Origin Main Sample,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Male,Origin Main Sample Male,Origin Main Sample Male,Origin psych,Origin psych,Origin psych,Significance Main Sample,Significance Main Sample,Significance Main Sample,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Male,Significance Main Sample Male,Significance Main Sample Male,Significance psych,Significance psych,Significance psych,Source Main Sample,Source Main Sample,Source Main Sample,Source Main Sample Female,Source Main Sample Female,Source Main Sample Female,Source Main Sample Male,Source Main Sample Male,Source Main Sample Male,Source psych,Source psych,Source psych,,,,,,,,,,
13,People have a sense of fulfillment when they do more for others than for themselves.,Człowiek miewa poczucie spełnienia kiedy robi więcej dla innych niż dla siebie.,12,79,7.51,4.04,6.77,4.34,6.49,3.19,54,7.39,1.45,33,7.36,1.58,21,7.43,1.25,26,7.77,1.34,55,3.69,2.4,28,3.89,2.53,27,3.48,2.28,24,4.83,2.97,54,6.65,1.98,33,6.7,2.13,21,6.57,1.78,23,7.04,1.33,53,4.87,2.92,28,4.93,2.97,25,4.8,2.92,26,3.27,2.52,52,6.46,2.3,27,7.07,2.04,25,5.8,2.42,24,6.54,2.3,54,3.17,2.18,30,3,2.13,24,3.38,2.26,24,3.25,2.47,92101.33333,52781.5,10.3,0.20,0.10,0.30,0.00,0.20,0.20,0.00
14,"A person can bear much suffering, because he knows that eventually relief can come.","Człowiek może znieść wiele cierpień, bo wie, że w końcu może nadejść ulga.",13,74,5.38,4.53,5.44,5.58,6.66,3.29,54,5.35,2.02,33,5.45,2.03,21,5.19,2.04,26,5.42,2.16,55,4.25,2.44,28,4.11,2.22,27,4.41,2.68,24,5.17,2.22,54,5.33,2.42,33,5.15,2.45,21,5.62,2.4,23,5.7,2.62,53,5.77,2.4,28,5.71,2.45,25,5.84,2.39,26,5.19,2.88,52,6.37,1.86,27,6.44,1.76,25,6.28,1.99,24,7.29,1.57,54,3.37,2.23,30,3.53,2.33,24,3.17,2.14,24,3.13,2.35,312262,50966,10.32,0.33,0.00,0.25,0.00,0.17,0.08,0.17
15,Seeing gruesomeness in his surroundings sometimes makes a person shudder.,Człowiek nieraz wzdryga się widząc obrzydliwość w swoim otoczeniu.,9,66,2.76,5.52,3.62,4.92,4.51,5.56,54,2.63,1.48,33,2.52,1.37,21,2.81,1.66,26,3.04,1.08,55,5.49,2.18,28,5.39,2.25,27,5.59,2.14,24,5.58,2.06,54,3.54,2.11,33,3.58,2.25,21,3.48,1.91,23,3.83,1.72,53,5.11,2.54,28,4.86,2.66,25,5.4,2.42,26,4.54,2.39,52,4.25,2.13,27,4.7,2.07,25,3.76,2.13,24,5.08,2.21,54,5.5,2.43,30,5.4,2.47,24,5.63,2.43,24,5.71,2.58,455746.2222,1688,8.4,0.33,0.11,0.22,0.00,0.00,0.11,0.22
16,"When a person does something, he might not expect that it will make him feel disgusted.","Człowiek robiąc coś może się nie spodziewać, że wywoła to wstręt do siebie .",13,76,3.41,5.01,3.27,4.57,5.63,3.49,54,3.59,1.81,33,3.42,1.87,21,3.86,1.71,26,3.04,1.37,55,4.91,2.34,28,4.89,2.35,27,4.93,2.37,24,5.25,2.09,54,3.22,1.76,33,3.33,2.04,21,3.05,1.2,23,3.39,2.06,53,4.83,2.15,28,4.43,2.2,25,5.28,2.03,26,4.04,2.32,52,5.46,1.6,27,5.37,1.86,25,5.56,1.29,24,6,1.77,54,3.37,1.96,30,3.43,2.05,24,3.29,1.9,24,3.75,2.21,924542.0769,275224,11.15,0.33,0.00,0.25,0.00,0.08,0.08,0.25
17,It is difficult to inhibit unpleasant bodily reactions when we smell terrible odors.,Czując potworny smród trudno pohamować nieprzyjemne reakcje naszego ciała.,9,74,2.36,6.15,3.25,5.47,4.01,5.94,54,2.26,1.31,33,2.09,1.1,21,2.52,1.57,26,2.58,1.5,55,5.93,2.39,28,5.96,2.55,27,5.89,2.26,24,6.67,2.41,54,3.46,2.14,33,3.82,2.2,21,2.9,1.97,23,2.74,1.91,53,5.4,2.63,28,5.07,2.73,25,5.76,2.5,26,5.62,2.64,52,3.75,2.13,27,3.78,2.12,25,3.72,2.19,24,4.58,2.15,54,6,2.63,30,5.27,2.65,24,6.92,2.34,24,5.79,2.54,4975.666667,489,6.96,0.33,0.33,0.22,0.11,0.00,0.00,0.00
18,The gentleness of a mother toward her children is moving and exhilarating.,Delikatność matki wobec potomstwa wywołuje zachwyt i wzruszenie.,9,64,7.58,3.7,5.6,2.54,7.03,4.63,54,7.43,1.66,33,7.27,1.74,21,7.67,1.53,26,7.88,1.37,55,3.47,2.91,28,3,2.74,27,3.96,3.04,24,4.21,2.98,54,5.22,2.68,33,5.03,2.84,21,5.52,2.42,23,6.48,2.02,53,3.04,2.56,28,2.96,2.44,25,3.12,2.74,26,1.54,1.73,52,6.75,2.37,27,6.96,2.36,25,6.52,2.4,24,7.63,1.5,54,4.65,2.73,30,4.7,2.74,24,4.58,2.76,24,4.58,3.17,184997.75,468,7.11,0.63,0.00,0.13,0.00,0.13,0.13,0.00
19,Bricks or wood can be used to build a house.,Do budowy domu można użyć cegieł albo drewna.,8,45,5.41,2.45,5.29,8.01,4.92,6.51,53,5.28,1.26,31,5.26,1.03,22,5.32,1.55,26,5.65,1.47,54,2.24,1.89,35,2.63,2.13,19,1.53,1.07,26,2.88,1.9,56,5,2.09,29,4.72,2.1,27,5.3,2.07,23,6,2.22,53,7.91,1.89,30,8.07,1.84,23,7.7,1.99,23,8.26,1.36,53,4.51,2.74,26,4.31,2.98,27,4.7,2.52,26,5.77,3.13,52,6.29,2.73,28,6.57,2.6,24,5.96,2.9,24,7,2.36,162870.75,27411.5,9.46,0.57,0.00,0.14,0.00,0.14,0.14,0.00
20,The most important sources of human happiness is human kindness and intimacy.,Dobroć i bliskość ludzi jest najważniejszym źródłem ludzkiego szczęścia.,9,72,7.61,4.68,6.03,2.64,6.89,4.37,53,7.32,1.59,31,7.71,1.37,22,6.77,1.74,26,8.19,1.17,54,4.81,2.96,35,4.51,2.94,19,5.37,2.99,26,4.38,2.47,56,6.16,2.03,29,6.1,2.14,27,6.22,1.95,23,5.7,2.01,53,2.81,1.95,30,2.9,2.04,23,2.7,1.87,23,2.26,1.76,53,6.43,2.15,26,6.38,2.16,27,6.48,2.19,26,7.81,1.7,52,4.29,2.9,28,4.04,3.04,24,4.58,2.76,24,4.54,3.41,313042.5556,1502,8.91,0.56,0.22,0.11,0.00,0.11,0.00,0.00
21,Wood undergoes a combustion reaction at high temperatures.,Drewno w wysokiej temperaturze ulega reakcji spalania.,7,54,4.84,2.78,4.3,8.2,3.53,7.18,53,5.15,1.49,31,4.9,1.27,22,5.5,1.71,26,4.19,1.02,54,2.35,2.1,35,2.43,2.05,19,2.21,2.25,26,3.65,2.23,56,4.3,2.28,29,3.83,2.58,27,4.81,1.82,23,4.3,1.74,53,7.98,1.79,30,8.03,1.52,23,7.91,2.13,23,8.7,0.56,53,3.3,2.28,26,2.65,1.85,27,3.93,2.51,26,4,2.73,52,7.1,2.13,28,7.25,2.05,24,6.92,2.24,24,7.38,1.88,254744,905,7.25,0.43,0.14,0.29,0.00,0.00,0.14,0.00
22,A person gains great power and ability to do extraordinary feats thanks to love.,Dzięki miłości człowiek zyskuje wielką moc i zdolność do niezwykłych czynów.  ,11,76,7.76,5.74,6.84,2.5,7.18,3.97,53,7.45,1.8,31,7.68,1.64,22,7.14,2.01,26,8.38,1.2,54,5.54,3.06,35,5.69,3.19,19,5.26,2.86,26,6.15,2.78,56,6.77,2.17,29,6.41,2.35,27,7.15,1.92,23,7,2.09,53,2.74,2.37,30,2.4,2.36,23,3.17,2.37,23,1.96,1.4,53,6.75,2.01,26,6.73,1.93,27,6.78,2.12,26,8.04,1.71,52,4.19,3.19,28,4.25,3.28,24,4.13,3.14,24,3.5,2.87,242340.8182,8745,9.25,0.45,0.18,0.09,0.00,0.09,0.18,0.00
23,"Thanks to human nobleness, people can experience much support and consolation.",Dzięki szlachetności ludzi człowiek może doświadczyć wiele wsparcia i otuchy.,10,77,7.27,4.91,5.7,3.45,6.18,4.2,53,7.15,1.66,31,7.23,1.33,22,7.05,2.06,26,7.5,1.39,54,4.85,2.66,35,4.94,2.57,19,4.68,2.89,26,5.04,2.9,56,5.68,2.22,29,5.21,2.34,27,6.19,2,23,5.74,2.26,53,3.68,2.22,30,3.2,2.07,23,4.3,2.29,23,2.91,1.65,53,5.74,1.82,26,5.54,1.9,27,5.93,1.75,26,7.08,1.94,52,4.19,2.59,28,4.71,2.66,24,3.58,2.41,24,4.21,3.26,204547.9,40850.5,9.43,0.56,0.00,0.11,0.00,0.11,0.11,0.11
24,Physical suffering can elicit such terrible pain that it makes a person faint.,"Fizyczne cierpienie może wywoływać tak potworny ból, że człowiek mdleje. ",10,72,2.47,6.41,2.75,4.71,5.91,3.93,53,2.64,1.81,31,2.45,2.03,22,2.91,1.44,26,2.12,2.16,54,6.2,2.75,35,6.11,2.83,19,6.37,2.67,26,6.85,2.31,56,2.93,2.37,29,2.14,1.71,27,3.78,2.69,23,2.3,1.43,53,4.64,2.67,30,5.1,2.66,23,4.04,2.62,23,4.87,2.63,53,5.75,2.24,26,5.77,2.32,27,5.74,2.19,26,6.23,2.1,52,4.12,2.69,28,4.57,2.82,24,3.58,2.48,24,3.54,2.92,268004.9,4994.5,8.86,0.20,0.20,0.30,0.00,0.10,0.00,0.20
25,"When something is bringing us down, when we are troubled, release acts as a balm.","Gdy coś nas gnębi, gdy przeżywamy coś uciążliwego, wyzwolenie działa jak balsam.",12,80,5.94,4.91,5.11,3.63,5.7,3.82,53,6.06,1.93,31,6.06,2.06,22,6.05,1.76,26,5.69,2.02,54,4.78,2.7,35,4.69,2.68,19,4.95,2.8,26,5.19,2.35,56,5.14,2.47,29,4.93,2.62,27,5.37,2.34,23,5.04,1.85,53,3.43,2.18,30,3.7,2.29,23,3.09,2.02,23,4.09,1.83,53,5.36,2.89,26,4.62,3.43,27,6.07,2.07,26,6.38,2.08,52,3.75,2.46,28,3.25,2.17,24,4.33,2.7,24,3.96,2.66,144010.5833,61916,8.84,0.36,0.09,0.27,0.00,0.27,0.00,0.00
26,"When you can relax after being exhausted, you feel like you can fly!","Gdy po wymęczeniu przychodzi wypoczynek człowiek czuje, że mógłby fruwać!",10,73,7.48,5.63,6.84,3.91,6.39,3.58,53,7.53,1.4,31,7.68,1.42,22,7.32,1.36,26,7.38,1.86,54,5.46,3.05,35,5.63,3.1,19,5.16,3,26,5.96,2.78,56,6.75,2.15,29,6.55,2.46,27,6.96,1.79,23,7.04,1.87,53,3.83,2.33,30,3.5,2.35,23,4.26,2.3,23,4.09,2.39,53,6.25,2.26,26,6.04,2.72,27,6.44,1.74,26,6.69,2.29,52,3.6,2.23,28,3.79,2.28,24,3.38,2.2,24,3.54,2.62,227161.5,22054.5,10.13,0.25,0.00,0.38,0.00,0.25,0.13,0.00
27,"When desire is aroused, it is accompanied by the possibility of closer relations and fulfillment.","Gdy pojawia się pożądanie, pojawia się też szansa na bliższe stosunki i spełnienie.",13,83,7.15,6.69,6.38,2.76,6.3,3.47,53,7.06,1.69,31,7.23,1.52,22,6.82,1.92,26,7.35,1.74,54,6.35,2.15,35,6.46,2.17,19,6.16,2.14,26,7.38,1.75,55,6.53,2.31,28,6.11,2.87,27,6.96,1.45,23,6.04,2.42,53,2.64,1.57,30,2.53,1.59,23,2.78,1.57,23,3.04,2.1,53,6.23,1.98,26,6.31,2.07,27,6.15,1.92,26,6.46,2.25,52,3.42,2.03,28,3.64,2.13,24,3.17,1.93,24,3.58,2.6,597224.0769,7815,9.95,0.23,0.08,0.23,0.00,0.15,0.08,0.23
28,"When we can save face, we can look at ourselves in the mirror without fear.","Gdy potrafimy zachować twarz, możemy bez obaw patrzeć na siebie w lustrze.",12,74,6.61,4.25,6.58,5.09,6.67,3.18,53,6.68,1.44,31,6.48,1.46,22,6.95,1.4,26,6.46,1.58,54,4.17,2.51,35,4.51,2.41,19,3.53,2.63,26,4.42,2.48,56,6.54,2.24,29,6.55,2.43,27,6.52,2.06,23,6.7,2.14,53,4.98,2.42,30,4.8,2.33,23,5.22,2.58,23,5.35,1.87,53,6.79,1.91,26,7.12,1.88,27,6.48,1.91,26,6.42,2.06,52,3.21,1.9,28,2.54,1.48,24,4,2.06,24,3.13,1.78,305614.5833,40018.5,10.18,0.27,0.00,0.36,0.00,0.09,0.27,0.00
29,"When we overcome fear and show courage, our self-esteem increases.","Gdy przezwyciężymy strach i wykażemy się odwagą,  wzrasta nasza samoocena.",10,74,7.39,5.58,7,4.87,6.72,3.25,53,7.36,1.24,31,7.32,1.28,22,7.41,1.22,26,7.46,1.3,54,5.35,2.56,35,5.37,2.34,19,5.32,3,26,6.04,2.32,56,6.79,2.17,29,6.72,2.34,27,6.85,2.01,23,7.52,2.23,53,4.6,2.24,30,4.7,2.28,23,4.48,2.23,23,5.48,1.65,53,6.45,2.01,26,6.38,2.02,27,6.52,2.03,26,7.27,1.56,52,3.27,2.34,28,3.04,2.46,24,3.54,2.23,24,3.21,2.21,385765.2,2663.5,8.15,0.30,0.10,0.30,0.00,0.20,0.00,0.10
30,Seeing an avalanche can make anyone terrified.,Każdy może zostać owładnięty przerażeniem na widok spadającej lawiny.,9,69,2.95,6.45,2.77,4.54,5.29,5.87,53,3.11,1.97,31,3.1,2.13,22,3.14,1.75,26,2.62,1.44,54,5.98,2.74,35,6.14,2.72,19,5.68,2.81,26,7.42,2.04,56,3.05,2.35,29,2.41,2.1,27,3.74,2.46,23,2.09,1.81,53,4.38,2.65,30,4.63,3.01,23,4.04,2.1,23,4.91,2.78,53,5.36,2.35,26,5.5,2.53,27,5.22,2.19,26,5.15,2.51,52,5.92,2.57,28,5.68,2.83,24,6.21,2.25,24,5.75,2.33,213348.7778,5238,7.88,0.33,0.11,0.33,0.00,0.00,0.11,0.11
31,"We are often driven by egoism, but we try to convince others that things are fair.","Kierujemy się często egoizmem, a usiłujemy wmówić innym, że to sprawiedliwe.",11,76,3.73,5,5.27,5.39,5.23,3.41,53,3.83,2.05,31,4.1,2.01,22,3.45,2.09,26,3.54,1.79,54,4.83,2.47,35,4.8,2.37,19,4.89,2.71,26,5.35,2.1,56,5.09,2.46,29,4.9,2.74,27,5.3,2.15,23,5.7,2.55,53,5.38,2.12,30,5.53,2.22,23,5.17,2.01,23,5.43,2.11,53,5.3,1.97,26,5,2.26,27,5.59,1.62,26,5.08,2,52,3.46,1.97,28,3.71,2.03,24,3.17,1.9,24,3.29,2.2,649925.6364,11309,9.14,0.18,0.18,0.27,0.09,0.18,0.00,0.09
32,"Forests produce oxygen, cleanse the air, and muffle noise.","Lasy produkują tlen, oczyszczają powietrze oraz tłumią hałas.",8,61,6.7,2.52,3.94,7.61,4.63,7.32,53,6.64,1.79,31,6.39,1.75,22,7,1.83,26,6.81,1.3,54,2.59,2.32,35,2.97,2.42,19,1.89,2,25,2.36,1.58,56,3.75,2.29,29,3.59,2.35,27,3.93,2.25,23,4.39,2.29,53,7.4,2.26,30,7.7,2.04,23,7,2.5,23,8.09,1.98,53,4.6,2.54,26,4.42,2.53,27,4.78,2.59,26,4.69,2.95,52,7.37,1.91,28,7.75,1.55,24,6.92,2.21,24,7.21,2.25,2431.625,770,6.4,0.50,0.00,0.38,0.00,0.13,0.00,0.00
