Words,Length,AROU M,AROU SD,VAL M,VAL SD
animosity,9,6.484,1.682,2.613,1.6
ankle,5,3.807,1.595,5.152,0.435
annoy,5,4.618,2.485,2.647,0.936
annoyance,9,4.457,2.465,2.471,0.882
annoying,8,4.235,2.073,2.697,1.029
answer,6,4.4,1.808,6.057,1.264
ant,3,3.029,1.757,4.647,0.8
anteater,8,4.032,2.04,5.219,0.649
antelope,8,4.086,2.17,5.714,1.03
anthem,6,5.303,2.153,6.364,1.432
anthropology,12,4.063,2.344,5.419,0.872
anticipation,12,7.303,1.527,6.382,1.698
anus,4,4.03,2.431,4.156,1.326
anxiety,7,5.265,2.934,2.257,0.873
anxious,7,5.686,2.376,2.657,1.194
apathy,6,4.793,2.14,4.759,2.16
ape,3,4.677,2.054,5.121,1.297
apex,4,4.276,2.211,5.846,1.537
apologize,9,5,1.867,5.97,2.037
apology,7,4.5,2.145,6.088,1.704
appalling,9,5.364,2.568,2.059,1.136
appear,6,4.406,1.783,5.656,1.29
appearance,10,5.406,1.598,5.406,1.433
appeared,8,5.065,1.795,5.677,0.857
applause,8,6.686,1.652,7.8,1.009
apple,5,4.677,2.138,6.147,1.191
Apple (brand),5,4.849,2.687,5.971,1.902
apple (fruit),5,4.636,2.172,6.121,1.297
appliance,9,3.364,1.554,5.257,1.227
applied,7,3.758,2.06,5.839,1.298
apply,5,3.971,1.807,5.771,1.244
appoint,7,3.818,2.022,5.618,1.329
appointment,11,3.515,2.076,4.97,1.114
appreciate,10,5.75,1.436,7.813,0.808
approval,8,5.714,2.05,7.441,1.006
approve,7,5.061,1.825,6.939,1.254
apricot,7,4.188,1.927,5.939,1.153
apron,5,3.724,1.76,5.226,0.705
aptitude,8,4.5,2.136,5.939,1.536
arch,4,4.25,1.62,5.5,1.176
archaeology,11,3.529,2.291,5.353,1.326
archer,6,4.273,2.019,4.97,0.834
archery,7,4.677,2.259,5.758,1.207
architect,9,4.242,1.843,5.771,0.988
archive,7,3.571,2.129,5.4,1.074
argue,5,5.257,2.334,2.771,1.333
argument,8,6.313,2.615,2.394,1.455
arise,5,5.286,1.798,6,1.138
aristocracy,11,4.719,2.528,4.212,1.683
aristocratic,12,4.133,1.708,4.3,1.696
arm,3,3.735,2.119,5.471,0.737
arm (limb),3,3.5,1.835,5.583,1.46
arm (weapon),3,5.727,2.15,2.758,1.436
armadillo,9,4.029,1.886,5.424,0.889
armed,5,6.254,1.815,3.029,1.414
armour,6,4.5,2.062,5.546,1.597
armoury,7,4.719,2.239,4.375,1.341
arms,4,4.364,1.997,5.546,1.539
arms (limbs),4,3.857,1.944,6.086,1.296
arms (weapons),4,5.706,2.561,2.059,1.211
army,4,5.712,2.187,3.91,1.859
aroma,5,5.531,2.179,6.576,1.256
arouse,6,7.688,1.53,7.156,1.093
aroused,7,7.943,1.241,7.265,1.146
array,5,4,2.118,5.75,0.968
arrest,6,4.206,2.423,2.457,1.38
arrested,8,5.344,2.272,2.143,0.99
arrive,6,4.971,2.479,6.182,1.167
arrogant,8,4.5,2.359,2.156,1.003
arrow,5,4.4,2.345,4.514,1.273
arrows,6,4.382,2.015,4.788,1.273
arse,4,5.094,2.529,3.971,1.706
arsehole,8,4.5,2.465,2.147,1.309
arson,5,5.206,2.898,2.059,1.434
art,3,6.394,2.187,7.03,1.218
artist,6,5.235,2.21,6.912,1.269
arts,4,5.206,2.097,6.429,1.05
ascend,6,5.677,1.567,6.529,1.242
ascent,6,5.343,1.897,5.686,1.45
ashamed,7,4.182,2.528,1.844,0.905
ashes,5,3.912,2.133,3.657,1.33
aspect,6,3.857,2.086,5.531,0.901
aspirin,7,3.849,1.725,5.029,1.295
ass,3,5.333,2.445,4.571,2.018
ass (donkey),3,3.912,2.215,4.743,1.317
ass (insult),3,4.697,2.54,2.063,0.864
assassin,8,6.588,2.157,2.206,1.659
assassinate,11,6.088,2.306,2,1.121
assault,7,5.188,2.744,2.03,1.381
asshole,7,4.941,2.555,2.486,1.826
assist,6,4.758,1.759,6.647,1.391
assistant,9,3.853,1.574,5.727,0.993
assuring,8,4.645,1.893,7.469,1.199
asteroid,8,6,2.387,4.559,1.459
asthma,6,3.667,2.3,2.471,1.036
astonish,8,6.394,1.874,5.909,1.379
astonished,10,6.429,2.129,5.8,1.6
astronaut,9,5.515,2.414,6.667,1.325
astronomer,10,5.156,2.002,6.303,1.314
astronomy,9,5.118,2.259,5.857,1.397
athletic,8,5.656,2.071,7.029,1.253
athletics,9,4.118,2.398,5.912,1.669
atmosphere,10,5.938,1.968,6.25,1.09
atom,4,4.171,2.236,5.6,1.398
atomic,6,5.844,2.611,3.618,1.956
atoms,5,4.818,1.961,5.677,1.529
atrocious,9,5.594,2.163,1.849,1.131
atrocity,8,4.971,2.739,1.515,0.892
attack,6,5.353,2.519,1.941,0.873
attacker,8,5.114,2.459,2.114,1.141
attempt,7,3.727,1.847,5.829,0.971
attendant,9,3.771,1.79,5.029,0.664
attention,9,5.882,1.937,6.114,1.09
attic,5,3.969,1.845,4.75,0.968
attitude,8,5.303,2.181,4.333,1.407
attract,7,7.057,1.241,7.265,1.009
attraction,10,7.206,1.694,7.677,0.962
attractive,10,7.471,1.242,7.875,0.927
attribute,9,4.5,2.226,5.886,1.09
auction,7,3.559,1.769,5.306,1.049
auctioneer,10,3.516,1.932,4.839,0.987
audience,8,4.727,1.911,5.781,1.556
auditorium,10,4.382,2.044,5.313,0.726
aunt,4,4.286,1.98,6.206,1.324
authentic,9,5.061,1.74,7.156,1.093
author,6,4.735,1.945,6,1.213
autopsy,7,5.235,2.658,3.529,1.519
autumn,6,4.971,2.065,6.057,1.492
avalanche,9,6.625,2.233,2.781,1.166
avenge,6,6.656,1.67,3.758,1.706
avenue,6,3.774,1.698,5.323,0.59
award,5,6.294,1.963,7.941,1.305
awarded,7,5.967,2.008,7.29,1.441
aware,5,5.529,1.974,6.143,1.437
away,4,3.594,1.95,4.152,1.209
awe,3,6.657,1.82,7.343,1.567
awesome,7,6.688,2.311,8.29,1.053
awful,5,3,2.07,2.118,1.367
awkward,7,5,1.923,3.118,0.993
axe,3,5.152,2.5,3.515,1.438
axle,4,3.429,1.72,5,0.62
baboon,6,3.971,2.007,5.114,0.949
baby,4,4.29,2.593,6.594,2.09
background,10,3.625,2.204,5.265,1.267
bacon,5,6.242,2.23,6.088,2.356
bacteria,8,4.059,2.287,3.471,1.356
bad,3,5.059,2.52,1.853,0.845
badge,5,3.03,1.915,5.294,1.201
badger,6,3.849,2.231,4.971,1.502
bag,3,3.727,1.619,5.219,0.544
baggage,7,4.097,1.614,3.807,1.33
bail,4,3.613,1.808,3.657,1.33
bait,4,4.867,1.668,4.167,1.098
bake,4,5.559,1.802,6.857,1.125
baker,5,4.543,1.976,6.229,1.311
bald,4,2.697,1.749,3.515,1.258
ball,4,4.433,2.29,5.667,0.907
ball (dance),4,5.657,2.013,6.647,1.37
ball (sphere),4,4.152,2.148,5.324,1.3
balloon,7,4.849,1.743,6.212,1.273
ballroom,8,4.735,2.355,6.618,1.284
bamboo,6,3.424,1.706,5.829,1.404
ban,3,3.818,2.194,2.548,1.214
banal,5,2.818,1.696,3.095,1.342
banana,6,5.03,2.125,5.886,1.09
band,4,5.094,2.269,6.031,1.185
band (music),4,6.286,2.172,6.546,1.559
band (ribbon),4,3.353,1.643,5.412,1.061
bandage,7,4.2,1.894,4.171,1.665
bandit,6,5.818,1.678,3.121,1.493
bandits,7,5.182,2.341,2.824,1.317
bang,4,6.364,2.213,4.206,1.623
banjo,5,4.636,2.346,5.606,1.099
bank,4,3.771,2.085,4.943,1.33
bank (money),4,4.677,2.583,5.688,1.57
bank (rely),4,3.546,1.924,4.647,1.16
bank (river),4,3.353,1.696,5.441,1.168
banker,6,3.294,1.963,3.735,1.54
bankrupt,8,4.156,2.306,1.788,1.008
banks,5,3,1.847,4.206,1.53
banks (money),5,4.576,2.089,4.206,2.026
banks (river),5,3.469,1.732,5.636,1.039
banner,6,4.323,2.101,5.406,0.897
bar,3,5.147,2.06,5.618,1.329
bar (legal),3,3.818,2.418,4.871,1.497
bar (metal),3,2.939,1.74,4.364,1.01
bar (musical),3,5.235,2.016,6,1.372
bar (pub),3,5.758,2.216,6.029,1.765
bare,4,5.194,1.804,5.094,1.355
barely,6,3,1.414,3.971,1
barge,5,4.156,2.002,4.344,1.725
barge (boat),5,3.629,1.987,5.343,0.754
barge (push),5,5.061,2.309,2.97,1.381
bark,4,4.886,2.364,4.657,1.33
bark (dog),4,4.912,2.035,4.4,1.335
bark (tree),4,3.606,1.757,5.364,0.881
barley,6,2.636,1.611,5,0.875
barn,4,3.324,1.843,5.486,1.131
barnacle,8,3.75,2.136,4.968,0.861
baroque,7,4.539,1.737,5.04,0.958
barrage,7,4.138,2.374,3.677,1.353
barrel,6,3.333,1.57,4.939,0.814
barrier,7,3.882,1.843,3.364,1.275
basement,8,3.75,1.92,4.177,0.89
basket,6,3.257,1.679,5.177,0.954
basketball,10,4.5,2.367,5.677,1.206
bass,4,3.969,1.879,5.514,0.996
bass (fish),4,3.485,1.956,5.242,0.854
bass (guitar),4,5.353,2.312,6.4,1.398
bassoon,7,4.138,2.012,5.444,0.994
bastard,7,6.031,2.099,2.455,1.458
bastards,8,5.031,2.687,2.194,1.281
bat,3,4.939,2.117,5.313,1.158
bat (animal),3,3.857,2.332,5.471,1.289
bat (club),3,4,2,4.727,1.523
bath,4,4.807,2.264,6.548,1.266
bathroom,8,3.546,2.046,5.677,1.322
battered,8,5.031,2.468,2.281,1.152
battery,7,3.818,2.167,5.457,1.295
battle,6,5.576,2.45,2.333,1.491
bayonet,7,4.581,2.393,3.387,1.407
bazooka,7,5.548,2.381,3.414,1.885
beach,5,6.167,2.131,6.839,1.139
bead,4,3.758,1.939,5.394,1.013
beagle,6,3.875,2.395,5.613,0.973
beak,4,3.029,1.765,4.857,0.761
beaker,6,3.182,1.66,4.938,0.348
bean,4,3.529,1.736,5.206,0.53
bear,4,5.394,2.187,4.831,1.354
beard,5,4.5,2.463,5.47,1.351
beast,5,6.209,1.959,3.105,1.585
beat,4,4.97,2.263,3.939,1.858
beat (hit),4,4.824,2.229,3.303,2.222
beat (mix),4,4.546,2.571,5.529,1.557
beat (rhythm),4,6.6,2.003,6.229,1.623
beaten,6,4.758,2.31,2.212,1.343
beautician,10,4.182,2.194,4.967,1.354
beautiful,9,7.029,1.689,8.441,0.881
beauty,6,6.781,1.268,7.344,1.428
beaver,6,4.697,1.867,5.781,1.192
become,6,5.323,1.821,6.2,1.249
bed,3,5.242,2.523,7.029,1.502
bee,3,4.727,2.247,4.788,1.32
beef,4,4.849,1.828,5.118,1.157
beehive,7,5.265,2.005,4.971,1.599
beer,4,5.177,2.107,5.543,1.762
beet,4,3.167,1.827,5.226,1.038
beetle,6,3.265,2.048,4.364,1.494
befall,6,3.758,1.518,3.968,1
beg,3,4.2,2.315,2.943,0.826
beggar,6,3.031,1.896,2.7,1.215
begin,5,4.941,2.141,6.257,1.203
beginning,9,5.469,2.061,7.324,1.206
behalf,6,3.629,2.016,5.177,1.2
behave,6,3.7,1.552,5.719,1.305
behaviour,9,4.886,1.953,5.147,1.396
behind,6,4.303,2.052,4.212,1.122
beige,5,2.594,1.818,4.606,1.669
belfry,6,3.867,1.784,5.111,0.657
belief,6,5.333,2.292,6.697,1.696
believe,7,5.667,1.972,6.625,1.293
bell,4,4,2.21,5.606,0.919
belly,5,4.594,1.835,4.438,1.435
belong,6,5.188,1.685,6.813,1.509
belt,4,4.516,1.701,4.742,1.294
bench,5,2.677,1.658,5.257,0.553
bend,4,4.088,1.976,4.829,0.654
beneficial,10,5.971,1.671,7.971,1
benefit,7,5.286,2.132,7.457,1.25
bereavement,11,3.455,2.84,1.879,1.122
berry,5,4.853,2.031,5.971,0.985
best,4,6,2.128,8.147,1.24
betray,6,5.206,2.506,1.742,0.949
betrayal,8,5.333,2.889,1.629,0.759
beverage,8,4.912,2.356,5.765,1.716
beware,6,5.546,2.641,2.485,1.329
bicycle,7,4.941,2.3,5.882,1.132
bid,3,4.286,1.426,5.429,0.767
bigot,5,4.419,2.575,1.677,0.962
bike,4,4.829,2.118,5.969,1.237
billion,7,6.265,2.465,6.353,1.473
binder,6,3.212,1.552,5.061,0.851
biology,7,5.182,2.418,5.471,1.613
bird,4,4.862,2.255,6.281,1.484
birth,5,5.471,2.659,7.265,1.357
birthday,8,6.242,2.132,7.438,1.345
biscuit,7,4.943,2.305,6.343,1.218
bishop,6,3.065,1.703,5.2,1.99
bison,5,3.63,2.452,5.571,1.635
bit,3,3.265,1.836,4.853,0.809
bit (bite),3,4,2.352,4.177,1.248
bit (horse bridal),3,2.828,1.858,5.241,0.773
bit (small amount),3,2.824,1.562,4.686,1.09
bitch,5,6.727,2.526,1.743,0.996
bitchy,6,5.813,2.789,2.147,1.141
bitter,6,4.794,2.18,2.471,1.091
bizarre,7,6.156,1.543,4.758,1.688
black,5,3.657,2.083,4.088,1.634
blackmail,9,5.091,2.551,2.324,1.3
blacksmith,10,3.706,1.654,5.265,0.699
blade,5,5.625,2.132,3.412,1.353
blame,5,4.343,2.151,2.743,1.203
bland,5,2.333,1.47,3.094,1.208
blank,5,3.229,1.914,4.457,0.996
blasphemy,9,5.152,2.776,2.758,1.371
blaze,5,6.857,1.884,3.686,1.347
blazes,6,6.467,1.231,3.333,1.3
bleak,5,2.882,2.139,2.588,1.396
blend,5,4.121,1.788,5.219,0.78
blender,7,4.258,1.796,5.2,0.792
bless,5,4.065,2.031,6.813,1.55
blessed,7,5.455,2.324,8.118,0.9
blessing,8,5.057,2.495,8.114,1.19
blessings,9,4.727,2.287,7.781,1.34
blimp,5,3.9,2.006,5.1,1.248
blind,5,4.147,1.957,3.029,1.445
bliss,5,6.455,2.451,8.091,1.264
blister,7,3.235,2.157,2.941,1.056
block,5,3.303,1.883,4.235,1.262
bloke,5,4.771,2.099,5.353,1.234
blond,5,5.061,1.774,5.424,1.478
blonde,6,5.242,2.257,5.882,1.451
blood,5,5.406,1.966,4.758,1.518
bloody,6,5.4,2.258,2.857,1.659
bloom,5,6.156,1.77,7.323,1.202
blossom,7,5.943,2.19,7.5,1.118
blouse,6,4.094,2.052,5.531,1
blow,4,4.706,2.23,4.912,1.269
blow (hit),4,5.438,2.221,2.697,1.381
blow (wind),4,4.543,2.272,4.629,1.071
blubber,7,3.667,2.238,3.618,1.085
blubber (cry),7,3.853,2.074,2.636,1.01
blubber (fat),7,3.265,1.99,3.324,1.585
blue,4,4.912,2.188,5.206,1.586
blueberry,9,5,2.06,6.118,1.157
bluff,5,4.303,1.8,4.471,1.007
blunder,7,4.406,1.852,3.412,1.061
blunt,5,4.147,1.817,4.029,1.382
board,5,3.353,2.013,5.03,0.577
board (enter),5,4.121,1.822,5.344,0.592
board (executive),5,3.303,1.946,4.909,1.545
board (wooden),5,2.857,1.57,4.857,0.542
boarded,7,3.088,1.821,4.765,1.214
boast,5,4.667,1.87,3.226,1.313
boastful,8,4.061,2.282,3.171,1.23
boat,4,4.642,2.231,5.776,1.182
body,4,5.212,2.345,5.879,1.122
boil,4,4.647,2.221,4.424,1.102
boiler,6,3.424,1.688,5.03,0.937
bold,4,5.594,2.134,6.152,1.52
bollocks,8,5,2.461,3.235,1.415
bomb,4,6.697,2.668,1.576,0.78
bomber,6,5.452,2.849,2.067,1.436
bond,4,5.229,1.853,6.4,1.398
bondage,7,5.909,2.598,4.212,1.788
bonds,5,4.394,2.201,5.118,1.409
bonds (money),5,4.273,2.465,5.563,1.731
bonds (restraints),5,5.743,2.297,3.086,1.948
bone,4,3.875,1.949,5.433,1.023
bones,5,4.647,1.797,5.686,1.326
bongo,5,5.147,2.031,5.971,1.028
bonnet,6,3.129,2.06,4.939,0.952
bonus,5,5.543,2.522,7.559,1.538
book,4,5.156,2.002,6.788,1.472
book (read),4,4.781,2.232,6.781,1.691
book (reserve),4,3.714,1.921,5.8,1.141
bookcase,8,4.094,2.39,6.061,1.476
boom,4,6.265,2.604,4.485,1.956
boost,5,5.588,2.144,7.059,1.162
boot,4,4.484,1.932,5.125,0.65
boot (car),4,3.118,1.676,4.939,0.776
boot (evict),4,4.294,2.358,2.971,1.2
boot (shoe),4,3.618,2.364,5.088,0.919
bored,5,2.469,1.639,2.943,0.955
boredom,7,2.457,2.019,2.429,1.022
boring,6,2.2,1.327,2.486,1.105
born,4,5.161,2.049,6.71,1.349
borrow,6,3.061,1.434,4.273,1.238
bosom,5,5.559,2.061,5.714,1.209
boss,4,3.909,2.417,3.829,1.521
botanist,8,3.654,1.98,5.429,1.45
botany,6,3.345,2.039,5.25,1.639
bother,6,3.543,1.947,3.486,1.5
bottle,6,4,1.884,5.355,1.002
bottom,6,4.156,2.293,4.25,1.803
bought,6,4.824,2.149,5.758,1.156
boulder,7,3.152,1.672,4.771,0.959
bounce,6,5.697,1.867,6.273,1.213
bouncy,6,6.314,2.011,6.471,1.194
bound,5,4.647,1.969,3.971,1.636
bouquet,7,5.588,1.784,6.714,1.322
bout,4,3.667,1.972,4.226,0.906
bow,3,4.125,1.98,5.333,0.586
bow (bend),3,3.353,1.764,4.788,0.946
bow (ribbon),3,4.257,2.156,6.182,1.546
bow (ship),3,3.438,1.968,5.233,0.955
bow (weapon),3,4.971,2.618,4.314,1.686
bowel,5,3,1.837,3.879,1.771
bowl,4,3,2.27,5.212,0.686
box,3,3.258,1.813,4.844,0.667
box (container),3,2.618,1.476,5.147,0.601
box (sport),3,4.212,2.532,4.235,1.646
boxer,5,5.594,2.357,4.636,1.41
boxer (dog),5,4.147,2.303,4.588,1.263
boxer (fighter),5,5.229,2.63,3.971,1.797
boxing,6,4.606,2.256,4.559,1.397
boy,3,4.294,2.136,5.6,1.224
boycott,7,5.677,2.097,3.485,1.48
bra,3,6.088,2.293,6.029,1.295
bracelet,8,5.147,1.987,6.029,1.361
bracket,7,2.938,1.499,5.065,0.435
brain,5,5.936,1.9,7.091,1.357
brainy,6,5.968,2.04,7.438,1.368
brake,5,4.086,1.873,4.857,1.199
brand,5,4.219,2.103,4.515,1.459
brass,5,3.968,1.448,5.226,0.831
brasserie,9,4.667,2.482,5.788,1.122
brassiere,9,5.412,2.045,5.742,1.015
brave,5,6.529,2.145,7.879,0.946
bravery,7,7.063,1.519,7.636,1.63
brazen,6,4.448,2.283,4.133,1.455
breach,6,4.697,2.081,3.611,1.72
bread,5,4.258,2,5.742,0.802
break,5,4.909,2.314,3.807,1.595
break (destroy),5,5.912,2.106,2.394,1.127
break (luck),5,6.032,1.534,7.147,1.517
break (rest),5,4.588,2.224,6.788,1.037
breakfast,9,5.029,2.479,5.857,1.222
breast,6,6.294,1.758,6.353,1.493
breasts,7,5.941,2.4,6.371,1.375
breeze,6,5.088,1.931,6.412,1.032
brew,4,4.303,2.181,5.294,0.925
brewer,6,3.906,2.141,5.063,0.933
bribe,5,5.143,2.086,3.371,1.64
bridal,6,5.364,2.422,6.807,1.635
bridal (horse),6,3.546,2.35,5.029,0.707
bridal (marriage),6,5.667,2.395,7.294,1.383
bride,5,6,2.196,6.941,1.765
bridegroom,10,5,2.214,6.613,1.474
bridesmaid,10,4.571,2.37,7.029,1.765
bridesmaids,11,5.294,2.371,6.514,1.628
bridge,6,3.636,1.92,5.333,1.035
bridge (card game),6,2.765,1.895,5.029,0.822
bridge (structure),6,3.529,2.199,6.235,1.352
brief,5,3.235,1.681,5.032,0.782
bright,6,6.324,1.64,7.571,1.077
bright (light),6,5.455,1.924,6.6,1.357
bright (smart),6,6.771,1.742,7.886,1.09
brilliant,9,7.394,1.594,8.371,1.149
brilliant (great),9,7.212,1.572,8.546,0.742
brilliant (intelligent),9,7.235,1.554,8.171,1.134
brilliant (luminous),9,6.829,2.384,8.118,1.105
brink,5,4.807,1.839,3.967,1.11
brisk,5,5.344,2.159,5.485,1.329
broccoli,8,4.219,2.103,5.969,1.489
broken,6,4.324,1.905,2.677,1.13
bronze,6,4.5,2.09,6,1.434
broom,5,3.091,1.676,5.03,0.87
brother,7,4.441,2.225,6.636,1.344
brow,4,3.697,1.867,5.2,0.888
brown,5,2.719,1.718,4.636,0.915
brunch,6,5,2.114,5.939,0.983
brunette,8,5.529,2.342,6,1.372
brush,5,4.129,1.641,5.452,0.711
brushed,7,4.161,1.78,5.467,0.846
brutal,6,5.543,2.156,1.824,0.89
brute,5,4.735,2.253,3,1.68
bubble,6,4.912,2.133,6.559,1.518
bubbly,6,5.514,2.005,6.909,1.215
buffalo,7,4.118,2.336,5.457,1.25
bugle,5,2.92,1.742,4.818,1.154
build,5,4.714,1.906,6.086,1.296
