sentence,Valence,Arousal
Adders don't snap they sting.,2.0,3.0
"Adders don't snap, they sting.",2.2857142857142856,3.0
Ah man.,4.0,3.0
"Ah so is everyone in the long run, huh?",4.0,2.0
"Ah, Augie.",2.0,2.5
"Ah, God, I'm giving myself goose bumps.  Look, all my hairs are popped up.",4.0,4.0
"Ah, I shall never forget his face.",4.5,3.0
"Ah, I'm giving myself goose bumps.  All my hairs are popping up.",4.0,3.5
"Ah, horrible thing.  I hated it.",2.3333,3.0
"Ah, it send shivers up my spine.",3.6667,4.0
"Ah, it's a pity you didn't have any more brandy.  It might have made you a little less disagreeable.",2.5,3.5
"Ah, man this is great.  I wouldn't miss this for anything.  I mean think about this.  I know you're not interested but just think about this for a minute.",3.0,2.5
"Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",2.0,4.0
"Ah, that reply has broken my heart.",2.0,2.5
"Ah, this is great, isn't it?  I didn't even think to bring a six-pack.  A six-pack would be just the ticket right about now.",3.0,2.5
"Ah, we were much younger then.  That was a rouser wasn't it?",3.0,3.5
"Ah, yes, I remember it well.  Bristling with diamonds in the worst possible taste.",2.5,2.5
Ah.,3.25,3.0
"Ah.  Things that ought to matter dreadfully don't matter when one's happy, do they?",3.5,3.0
Ah...,4.5,2.5
"Ah...Anyways, so she took the ring and she goes, is this real?  So I was like, of course--",4.0,4.0
Ah...Strange...,4.0,3.0
Ahh.  It sent shivers up my spine.,4.0,4.0
Ahh. Yeah. [GARBAGE],4.0,3.0
Ahh...we weren't in a good spot.,3.5,2.5
Ahh...who knows.,4.5,2.0
All I can do for you right now is give you a hundred dollars.,2.5,3.0
"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.",2.5,4.5
All I'm going to need is your credit card number but just give me one moment. So-,3.5,3.0
All dudes?,3.0,2.5
All fruit and brown. [LAUGHTER],4.5,4.0
All fruit and the color brown. Just that. That's all- that's my only request.,4.5,4.0
All hail to the,3.5,2.5
"All of those futile moralists who make life unbearable.  You have to laugh at them, be flippant.",3.5,3.5
All right  Uh-,3.0,2.6667
"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you.",1.0,4.3333
"All right then, mom.",2.5,2.25
All right then.,3.0,2.0
All right um--,3.0,3.5
"All right!  But don't think like that, because I mean, what the hell did we do all this for, Chris?  The whole business it's all for you!  The whole shooting match is for you!",1.5,4.0
"All right, All right mom.  Listen!",2.5,4.0
"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",2.5,3.0
"All right, Sure.  A yeah, that- that'd be good.",4.0,3.5
"All right, all right, all right.  You know why I asked Annie here, right?",3.0,2.3333
"All right, all right.  Calm yourself.",2.5,3.5
"All right, but don't think like that.",3.0,3.5
"All right, but just don't go thinkin' like that 'cause otherwise what did we work for?  I mean, the whole thing is for you, Chris.  The whole shootin' match is for you.",1.5,4.5
"All right, but you can't do that. You can't talk like that.",2.6667,3.3333
"All right, calm yourself.",2.0,3.0
"All right, sir.",4.0,2.5
"All right, then, Mom.",3.0,3.0
"All right, then, Mom. [BREATHING]",2.0,2.0
"All right, then.",1.5,2.0
All right.,3.0,2.4
"All right.  All right, just listen.",2.0,4.0
"All right.  All right, mom.  Just listen.  You know why I invited Annie her, don't you?",2.0,4.0
"All right.  All right, then, Mom.",2.5,3.0
All right.  All right.,3.0,3.3333
All right.  All right.  Calm yourself.,3.0,3.0
All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,2.0,3.0
All right.  And can they like all get together?,2.5,3.5
"All right.  But don't think like that because what the hell did we work for, Chris?  All of this, all of it, it's all just for you.",2.0,3.5
"All right.  But don't think like that.  Because what the hell did we work for, Chris?  I mean, this whole thing, it's all for you.",1.5,3.0
"All right.  But they are fish that do something no other fish do.  Like the swallows were turning into Capistrano or Lemmings jumping off the cliffs, you know like that. There's- There's magic here and mystery.  And a little bit of the unexplainable.  You know, I can't see how you could not be interested.",3.5,4.0
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",1.6667,4.6667
"All right.  Bye, bye.",4.0,3.5
All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,3.5,2.5
"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",3.0,4.0
All right.  I will.,2.5,2.5
"All right.  Just-- just don't go thinkin' that way, you hear me?",1.5,3.5
"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst.",2.0,4.0
All right.  So we're confirmed then or do you--All right.,3.5,2.5
"All right.  Well, um, you know, I'd love to help you, but--nothing I can do.",2.5,3.5
All right.  Wow.  So exciting.,4.0,3.0
All right.  You have a wonderful day.  Call us anytime.,4.0,3.0
All right. All right. Calm yourself.,1.75,3.8333500000000003
"All right. All right. Just come on, sit down.",3.0,3.0
All right. All right. Listen to me.,2.5,3.0
All right. All right. Mom.,2.0,3.0
"All right. But you don't want to be thinking like that 'cause otherwise what did we work for, I mean the whole thing is for you, Chris, the whole shooting match is for you.",1.0,4.0
All right. Customer service this is Steve.,3.6667,3.0
All right. Finally. Here you go.,4.0,2.5
All right. I will.,3.5,3.0
All right. I'm sick- I'm sick of this all right. I'm sick of you and keep your fifty dollar.,2.0,4.0
All right. I've been trying to work this backwards but I cannot seem to pinpoint the moment that we took a turn for the worst.,2.5,4.0
All right. I-,3.0,2.5
"All right. Just- Sit down, mom. I want to talk to you.",2.0,3.0
"All right. Now, listen kid-",3.0,3.0
"All right. Well, you know that's, that's what we have all of our protection plans for and everything like that so I mean it's",3.6667,3.0
"All right?  Now, um- it's green, travel bag, you couldn't find it.  And was there something important in it that you need it?",3.0,3.0
"All the best people die, all the bad people live and they make life shitty for you anyway.",1.5,3.0
All the futile moralists who try to make life unbearable.,2.0,3.5
All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.,2.5,3.5
All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.  Flippancy brings out the acid- acid in their damn sweetness and light.,2.5,4.0
All the futile moralists who try to make life unbearable. Laugh at them. Be flippant. Laugh at all the sacred shibboleths. Flippancy brings out the acid in their damn sweetness and light.,3.0,3.5
"All the futile mortals who try to make life unbearable.  Laugh at them, Be flippant.  Laugh at everything, all their sacred shibboleths.",3.5,4.0
"All the futile mortals who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything, all their sacred shibboleths.  Flippancy brings out the acid in their damned sweetness and light.",4.0,4.0
"All the time, every day, every day.  They have e-mail over there and stuff like that, right? I can send you pictures.",1.5,3.0
All those futile moralists that try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.,3.3333,3.6667
"All those futile moralists, who try to make life unbearable, laugh at them, be flippant. Laugh at everything all their sacred shibboleths",4.0,3.5
"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?",2.3333,4.0
All- all that my supervisor could do is the exact same thing that I'm offering to do.,3.5,3.0
Alright Ms. Brown what's the nature of your problem?,3.0,2.5
Alright Thanks.,4.0,2.5
"Alright Yes, I'm sorry for all the inconvenience but we'll get it taken care of.",3.3333,3.0
Alright but don't think that way,2.5,3.0
Alright but you can't talk like that you hear?,2.0,4.0
Alright but you don't talk like that you hear?  You don't.,2.0,4.0
Alright then mom.,2.5,2.5
Alright then.,2.5,3.0
"Alright, I don't know what to tell you right.",2.5,3.0
"Alright, alright, alright.  Listen.  You know why I asked Annie here don't you?",2.5,3.0
"Alright, alright, alright.  Listen. You know why I asked Annie here don't you?",2.0,4.0
"Alright, alright, calm yourself okay?  Calm yourself. Wait, wait.  What do you mean, me above all?",2.0,4.0
"Alright, alright.  Calm yourself.",3.0,3.3333
"Alright, sir. Sir.  I'm going to transfer you to the address.",3.0,3.5
"Alright, so you're not going to believe this.  But I went home today. I looked through the mail.  And I got an acceptance letter from U.S.C..",4.0,3.5
"Alright, then, mom.",2.5,1.0
"Alright, then, mom.  Did we skip something?  No.  Alright, then, mom.",2.5,2.5
Alright.,4.0,3.0
Alright.  Alright.  Calm yourself.,2.5,3.0
"Alright.  And you're coming-- Wait, hold on sir.  You're coming from Baltimore into LAX right?",3.0,3.5
Alright.  But it's fish that do something that none of the other fish do.  Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs.,3.5,3.5
"Alright.  But just don't think like that because what the hell did we work for?  That's all for you, Chris.  The whole shooting match is just for you.",2.0,3.5
Alright.  Um- Well that could be the problem. cause--,2.5,2.5
"Alright.  You know what, sir.  The customer is always right.",3.5,2.5
Alright. Alright. Alright just listen.,3.0,4.0
Alright. Take Care.,3.5,2.5
Alright. Well you got me now.,4.0,3.3333
"Alright. Well-  I guess - I guess that's okay but,",2.5,3.0
Alright. Yeah.  Have a kid.  Make a beautiful life.,3.0,3.5
Alright?  Great.  Have a nice evening.,3.5,3.0
"Although, I guess you can't tell it probably isn't them. Probably be unmistakable don't you think?",4.0,3.0
"Always, I always do.",4.0,3.0
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",4.3333,4.0
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",2.5,2.5
Am I in it?,3.5,3.5
Amanda listen. Listen.,1.5,4.0
"Amanda, listen, listen.",2.0,3.5
"Amanda, listen.",2.5,3.0
"Amanda, listen. Listen.",2.0,3.5
"Amanda, listen. listen",2.0,2.5
"Amanda, really.",1.5,3.0
Amanda-- Listen- Listen-,1.5,4.5
American Pie? Ah.,4.0,3.5
Amy's starting school in a month.,2.0,3.5
An I got accepted to U.S.C. party.,4.0,3.5
An abrasive vibe?,2.0,3.5
And I came back here and it was incredible. There was no meaning in that here. The whole thing to them was a bus accident.,2.0,3.0
And I can give you my social--,2.0,4.0
And I can tell you where I was born and what time and by who and what day.,1.5,3.5
And I did everything they said.  And now i'm talking to you and you're supposed to put the money back on my account because I didn't make the calls and I'm really tired of dealing with this because I didn't even,1.0,5.0
And I didn't want any of it. I guess that included you.,2.0,2.6667
And I didn't want to take any of it and I guess that included you.,2.5,2.5
And I didn't want to take any of it.,2.5,3.0
"And I don't know why people don't just tell you off the bat that it's just gonna suck anyway.  You know, like, what's the point?",1.5,3.0
"And I felt what you said, ashamed somehow 'cause nobody had changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",1.5,3.5
"And I felt what you said, ashamed somehow 'cause nobody was changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",2.0,3.0
And I felt what you said- ashamed somehow-because nobody had changed at all.  It seemed to make suckers out of a whole lot of guys. and,1.5,3.5
"And I felt wrong to be alive. To drive the car, to see the new checkbook, to see the new refrigerator. I mean, you can take those things out of the war. But you got to know that when you drive that car that that came out of the love a man can have for another man. And you got to be a little bit better because of that.",1.5,3.0
"And I go, I want to spend the rest of my life with you.",4.0,2.5
"And I got an ideal, watching them all go down.  Everything was being destroyed see and-",2.5,3.5
"And I got this idea watching them go down, everything was being destroyed, see?  But, to me, it seemed there was one new thing that was made,",2.0,3.0
"And I got this idea watching them go down.  Everything was being destroyed see, but it seemed to me that there was one new thing that was made",2.5,3.0
And I guess that included you.,2.25,3.0
"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",1.5,2.0
"And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",2.0,2.6667
And I love you baby.  And I want you to marry me.,4.0,2.5
"And I pop up out of the water -- and I had planned it already, you know? I pop up out of the water and I [BREATHING] and I like, grab her hand, you know.  and that In my hand, I've got the ring.",4.0,3.6667
"And I remember thinking this is it.  At last, at last I'm as happy as I'm supposed to be.",3.0,4.0
"And I remember thinking this is it. finally, finally I'm as happy as I'm supposed to be.",3.0,2.5
"And I remember thinking to myself, finally.  I am as happy as I am supposed to be.",2.0,2.3333
"And I remember thinking, Finally, finally.  I am as happy as I am supposed to be.",3.0,2.0
"And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be.",4.0,4.5
"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow.",1.0,4.5
And I thought that if I waited then dad would forget about Larry and then we could have a regular wedding and everything happy.,2.3333,2.3333
"And I thought, this is it.  This is how happy I'm supposed to be.",3.6667,3.3333
And I want lots and lots and lots of pictures.,4.0,2.0
"And I was like what? She's like, you know, you didn't get in. Totally plays it off. Like I didn't get in. And I'm like, I start almost crying.",3.5,3.5
"And I went to work with dad and that rat race again and I felt what you said, ashamed.  Somehow because nobody was changed at all.",2.5,3.5
And I went to work with dad and that rat race again. And I felt what you said-ashamed somehow. Because nobody was changed at all. It seemed to make a sucker out of a lot of guys.,1.5,4.0
"And I'll reset the IP address.  I will do like, you know, direct connect the modem to my computer, and then reset everything, and then put the router back in. And-",2.0,3.5
"And I'm like freaking out. I'm like what the hell's going on, you know. I don't know what's going on. And so he's like standing there and then all of a sudden they give him a microphone-",4.0,4.0
"And I'm like oh, he went to the- -the bathroom, but he didn't tell me, I didn't even notice him leaving. And all of a sudden, I swear to God, I'm sitting there and-",4.0,4.5
"And I'm looking forward to that.  However, I can't do that. I would lose my job.",3.5,2.5
"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",1.5,2.5
"And I've- I've- some lady -- I got in line.  I waited for about two hours um, and, I gave her this form",2.0,3.5
"And I, and I thought something watching them go down.",2.0,3.0
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2.0,3.0
And Uh- Yeah. Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.,2.5,2.0
And a taser and a knife.,3.5,3.0
And a taser.  Excellent.  Just make sure it's a big knife.,4.5,4.0
And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,3.5,3.5
"And and to see that again, to to bring that back on the earth again, like- like a monument that that would stand behind these men and and and it would make a difference to them.",4.0,4.5
"And and, in about...",2.0,2.5
And brown.,4.0,3.0
And charger and accessories and I want a cover that's pink.,2.5,3.5
And do you still feel that way?,2.5,2.75
"And form the line and started swimming, swimming that would bring them to this point here...",3.0,4.0
And he could of...  He was pretty awesome,2.0,2.5
And he just got that baseball scholarship.,1.5,2.5
And he just took it overboard.,2.5,2.5
"And he told me to come to this desk here so I can, uh, at least get, uh, the hundred- hundred and fifty dollars that- that I'm owed for my loss.",2.5,2.0
And he's gone forever.  You're sure?,3.0,2.8333333333333335
And he's gone forever?  Are you sure?,2.6667,2.6667
And he's gone now and I  -- I just can't believe it.,1.5,3.0
And his whole family was there.,1.6667,2.0
And hit enter.,3.0,3.0
And how did she feel about that?,4.0,3.5
And how do you know why she's waited.,3.0,2.0
And how long is that going to take?,1.5,3.0
And if you can't see that then it's just loot and there's blood all over it.,1.5,3.5
"And if you're not, then it's all just loot and it's got blood on it, and I don't want any of it!  And, I guess that included you.",1.0,4.0
"And it's going to -- the -- you know, I told her that I just -- I want the color brown to be as an integral in the wedding.  And, um, maybe some greens and blues.",4.0,3.5
"And it's single mindedness with no mind. It- It's urgency, it's pure urge.  I mean, they didn't make any decisions.  They don't ask any questions.  They don't give it a name,",4.0,5.0
And it's so close so you can come visit me all the time.,4.5,4.0
And last year I remember like distinctively you were so excited to get here that you didn't realize you stubbed your toe until we were in a car.,3.0,3.5
And last year when we came you ran out of the house so fast you stubbed your toe and you didn't even notice it until we got in the car.,2.0,3.5
"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",3.0,2.5
"And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.",4.0,4.0
And look what I got here.,4.0,2.5
And much sillier too.,3.5,2.5
"And my mom was like Natalie, Natalie, it's [GARBAGE], you know-",3.5,3.5
And no one had changed it was just like sort of random bus accident to them.,1.5,3.0
And nobody knows we're here except for Freda and she wouldn't ring up.,2.5,3.0
"And now I don't have that person anymore, you know.  And it's -- -- it's just, you.",1.5,3.0
And now you're getting married.,3.5,3.0
And now- and now it's really shitty timing but now I have to go.,1.5,2.5
And palm pilot.,2.0,3.5
And plus my car is breaking down-,2.0,2.0
And she was,3.5,2.0
"And she's like- she feels it you know and she doesn't know what it is.  And she you know helps me get out and I won't let go of her hand.  And she's like, what are you doing?  I and said, You saved my life, now will you marry me?",4.3333,3.6667
And she-she's Larry's girl.,3.0,3.3333
"And so I waited there, but nothing came.",3.0,3.0
"And so I'm getting the animals, putting the animals out in the yard. I'm putting on my jacket, getting the car out of the garage-",2.6667,3.3333
And that you're going to transport them safely from one place to another.,2.0,4.0
And the car that he hit was his family.,2.0,2.5
"And the chances, what are the chances of meeting somebody in Africa and then coming back to Chicago?",3.5,3.5
"And the last time before she died, I remember she couldn't really stand, umm...",1.5,2.0
And then I came here and it was incredible.  There was no meaning in it here.  The whole thing to them was a kind of bus accident.,2.5,3.5
And then I came home and it was amazing.,2.5,3.0
And then I went home and it was incredible.  It had no meaning here.,2.5,3.5
"And then I'm putting the animals out in the yard, I'm pulling the car out of the garage, putting my jacket on.",3.0,3.0
"And then last year I remember specifically you were so excited that you stubbed your toe on the way pushing me out of the house, and you didn't even notice until we got in the car.",2.5,2.5
And then last year when we came to see it you ran out of the house so fast that you stubbed your toe. And you didn't even notice until you got in the car.,3.0,4.0
"And then men's basketball.  And -- oh, well not women's basketball.",3.5,3.0
And then that'll be that. It's going to be fine. Just-,3.5,3.5
And then the manager came in and found us rolling around on the floor biting and scratching like panthers.,4.5,3.5
"And then the manager came in and saw us all rolling all over the floor, biting and scratching one another. [LAUGHTER]",4.5,4.5
And then then you'll get some money back.,3.0,3.0
And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,3.5,3.0
And then we go home and they go home.,2.0,3.5
"And then we'll thrash it out with dad right?  Mom, don't avoid me.",2.0,3.5
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,2.6667,2.0
"And then, you.  You've been kind of...",3.3333,2.0
"And they all, all as one, turned as one and formed this line as big as the California coast and started swimming this way. Swimming as if that's the only thing that matters.",3.0,4.0
And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,3.0,3.5
And they didn't care?,2.0,3.3333
